,area_title,fips_county,qualifying_area,criteria
214,"Atlanta-Sandy Springs-Roswell, GA MSA",13151,msa_or_county,fossil_employment
215,"Atlanta-Sandy Springs-Roswell, GA MSA",13159,msa_or_county,fossil_employment
216,"Atlanta-Sandy Springs-Roswell, GA MSA",13171,msa_or_county,fossil_employment
217,"Atlanta-Sandy Springs-Roswell, GA MSA",13199,msa_or_county,fossil_employment
218,"Atlanta-Sandy Springs-Roswell, GA MSA",13211,msa_or_county,fossil_employment
219,"Atlanta-Sandy Springs-Roswell, GA MSA",13217,msa_or_county,fossil_employment
220,"Atlanta-Sandy Springs-Roswell, GA MSA",13223,msa_or_county,fossil_employment
221,"Atlanta-Sandy Springs-Roswell, GA MSA",13227,msa_or_county,fossil_employment
222,"Atlanta-Sandy Springs-Roswell, GA MSA",13231,msa_or_county,fossil_employment
223,"Atlanta-Sandy Springs-Roswell, GA MSA",13247,msa_or_county,fossil_employment
224,"Atlanta-Sandy Springs-Roswell, GA MSA",13255,msa_or_county,fossil_employment
225,"Atlanta-Sandy Springs-Roswell, GA MSA",13297,msa_or_county,fossil_employment
226,"Mckinley County, New Mexico",35031,msa_or_county,fossil_employment
227,"Lee County, Texas",48287,msa_or_county,fossil_employment
228,"Franklin County, Kansas",20059,msa_or_county,fossil_employment
229,"San Luis Obispo-Paso Robles-Arroyo Grande, CA MSA",06079,msa_or_county,fossil_employment
230,"Tuscaloosa, AL MSA",01065,msa_or_county,fossil_employment
231,"Tuscaloosa, AL MSA",01107,msa_or_county,fossil_employment
232,"Tuscaloosa, AL MSA",01125,msa_or_county,fossil_employment
233,"Somerset County, Pennsylvania",42111,msa_or_county,fossil_employment
234,"Chautauqua County, Kansas",20019,msa_or_county,fossil_employment
235,"Duval County, Texas",48131,msa_or_county,fossil_employment
236,"Graves County, Kentucky",21083,msa_or_county,fossil_employment
237,"Box Butte County, Nebraska",31013,msa_or_county,fossil_employment
238,"Okfuskee County, Oklahoma",40107,msa_or_county,fossil_employment
239,"Pike County, Mississippi",28113,msa_or_county,fossil_employment
240,"Neosho County, Kansas",20133,msa_or_county,fossil_employment
241,"Minidoka County, Idaho",16067,msa_or_county,fossil_employment
242,"Escambia County, Alabama",1053,msa_or_county,fossil_employment
243,"Carter County, Oklahoma",40019,msa_or_county,fossil_employment
244,"Bonner County, Idaho",16017,msa_or_county,fossil_employment
245,"Palo Pinto County, Texas",48363,msa_or_county,fossil_employment
246,"Uinta County, Wyoming",56041,msa_or_county,fossil_employment
247,"Johnstown, PA MSA",42021,msa_or_county,fossil_employment
248,"Morrison County, Minnesota",27097,msa_or_county,fossil_employment
249,"Winkler County, Texas",48495,msa_or_county,fossil_employment
250,"Nolan County, Texas",48353,msa_or_county,fossil_employment
251,"Hopkins County, Kentucky",21107,msa_or_county,fossil_employment
252,"Roane County, West Virginia",54087,msa_or_county,fossil_employment
253,"Fallon County, Montana",30025,msa_or_county,fossil_employment
254,"Hale County, Texas",48189,msa_or_county,fossil_employment
255,"Hillsdale County, Michigan",26059,msa_or_county,fossil_employment
256,"Choctaw County, Alabama",1023,msa_or_county,fossil_employment
257,"Bureau County, Illinois",17011,msa_or_county,fossil_employment
258,"Clarion County, Pennsylvania",42031,msa_or_county,fossil_employment
259,"Emery County, Utah",49015,msa_or_county,fossil_employment
