,area_text,geographic_level,state_code,geoid,year,local_area_unemployment,national_unemployment_rate_prev_year
89,"Conecuh County, AL",county,01,035,2014,10.3,7.4
90,"Coosa County, AL",county,01,037,2010,15.1,9.3
91,"Coosa County, AL",county,01,037,2011,12.3,9.6
92,"Coosa County, AL",county,01,037,2012,9.6,8.9
93,"Coosa County, AL",county,01,037,2013,9.3,8.1
94,"Coosa County, AL",county,01,037,2014,8.8,7.4
95,"Covington County, AL",county,01,039,2010,10.2,9.3
96,"Covington County, AL",county,01,039,2011,9.8,9.6
97,"Covington County, AL",county,01,039,2012,8.6,8.9
98,"Covington County, AL",county,01,039,2013,8.2,8.1
99,"Covington County, AL",county,01,039,2014,7.7,7.4
100,"Crenshaw County, AL",county,01,041,2010,10.0,9.3
101,"Crenshaw County, AL",county,01,041,2011,9.8,9.6
102,"Crenshaw County, AL",county,01,041,2012,8.5,8.9
103,"Crenshaw County, AL",county,01,041,2013,7.8,8.1
104,"Crenshaw County, AL",county,01,041,2014,6.9,7.4
105,"Cullman County, AL",county,01,043,2010,10.3,9.3
106,"Cullman County, AL",county,01,043,2011,9.5,9.6
107,"Cullman County, AL",county,01,043,2012,7.9,8.9
108,"Cullman County, AL",county,01,043,2013,6.8,8.1
109,"Cullman County, AL",county,01,043,2014,6.0,7.4
110,"Dale County, AL",county,01,045,2010,8.7,9.3
111,"Dale County, AL",county,01,045,2011,8.3,9.6
112,"Dale County, AL",county,01,045,2012,7.6,8.9
113,"Dale County, AL",county,01,045,2013,7.5,8.1
114,"Dale County, AL",county,01,045,2014,7.0,7.4
115,"Dallas County, AL",county,01,047,2010,16.6,9.3
116,"Dallas County, AL",county,01,047,2011,15.0,9.6
117,"Dallas County, AL",county,01,047,2012,13.2,8.9
118,"Dallas County, AL",county,01,047,2013,12.4,8.1
119,"Dallas County, AL",county,01,047,2014,11.2,7.4
120,"DeKalb County, AL",county,01,049,2010,12.4,9.3
121,"DeKalb County, AL",county,01,049,2011,11.7,9.6
122,"DeKalb County, AL",county,01,049,2012,9.3,8.9
123,"DeKalb County, AL",county,01,049,2013,7.7,8.1
124,"DeKalb County, AL",county,01,049,2014,6.8,7.4
125,"Elmore County, AL",county,01,051,2010,9.0,9.3
126,"Elmore County, AL",county,01,051,2011,8.4,9.6
127,"Elmore County, AL",county,01,051,2012,7.1,8.9
128,"Elmore County, AL",county,01,051,2013,6.2,8.1
129,"Elmore County, AL",county,01,051,2014,5.7,7.4
130,"Escambia County, AL",county,01,053,2010,11.6,9.3
131,"Escambia County, AL",county,01,053,2011,10.7,9.6
132,"Escambia County, AL",county,01,053,2012,9.4,8.9
133,"Escambia County, AL",county,01,053,2013,8.7,8.1
134,"Escambia County, AL",county,01,053,2014,8.0,7.4
135,"Etowah County, AL",county,01,055,2010,10.8,9.3
136,"Etowah County, AL",county,01,055,2011,10.0,9.6
137,"Etowah County, AL",county,01,055,2012,8.5,8.9
138,"Etowah County, AL",county,01,055,2013,7.7,8.1
139,"Etowah County, AL",county,01,055,2014,7.0,7.4
140,"Fayette County, AL",county,01,057,2010,12.8,9.3
141,"Fayette County, AL",county,01,057,2011,11.0,9.6
142,"Fayette County, AL",county,01,057,2012,8.8,8.9
143,"Fayette County, AL",county,01,057,2013,8.4,8.1
144,"Fayette County, AL",county,01,057,2014,7.8,7.4
145,"Franklin County, AL",county,01,059,2010,10.5,9.3
146,"Franklin County, AL",county,01,059,2011,9.5,9.6
147,"Franklin County, AL",county,01,059,2012,8.6,8.9
148,"Franklin County, AL",county,01,059,2013,8.2,8.1
149,"Franklin County, AL",county,01,059,2014,7.7,7.4
150,"Geneva County, AL",county,01,061,2010,10.2,9.3
151,"Geneva County, AL",county,01,061,2011,9.2,9.6
152,"Geneva County, AL",county,01,061,2012,7.8,8.9
153,"Geneva County, AL",county,01,061,2013,7.1,8.1
154,"Geneva County, AL",county,01,061,2014,6.7,7.4
155,"Greene County, AL",county,01,063,2010,17.0,9.3
156,"Greene County, AL",county,01,063,2011,17.1,9.6
157,"Greene County, AL",county,01,063,2012,13.9,8.9
158,"Greene County, AL",county,01,063,2013,13.0,8.1
159,"Greene County, AL",county,01,063,2014,12.4,7.4
160,"Hale County, AL",county,01,065,2010,14.8,9.3
161,"Hale County, AL",county,01,065,2011,13.7,9.6
162,"Hale County, AL",county,01,065,2012,11.7,8.9
163,"Hale County, AL",county,01,065,2013,11.8,8.1
164,"Hale County, AL",county,01,065,2014,9.8,7.4
165,"Henry County, AL",county,01,067,2010,10.8,9.3
166,"Henry County, AL",county,01,067,2011,9.7,9.6
167,"Henry County, AL",county,01,067,2012,8.5,8.9
168,"Henry County, AL",county,01,067,2013,7.8,8.1
169,"Henry County, AL",county,01,067,2014,7.5,7.4
170,"Houston County, AL",county,01,069,2010,9.0,9.3
171,"Houston County, AL",county,01,069,2011,8.6,9.6
172,"Houston County, AL",county,01,069,2012,7.8,8.9
173,"Houston County, AL",county,01,069,2013,7.0,8.1
174,"Houston County, AL",county,01,069,2014,6.7,7.4
175,"Jackson County, AL",county,01,071,2010,11.6,9.3
176,"Jackson County, AL",county,01,071,2011,10.2,9.6
177,"Jackson County, AL",county,01,071,2012,8.8,8.9
178,"Jackson County, AL",county,01,071,2013,8.0,8.1
179,"Jackson County, AL",county,01,071,2014,7.2,7.4
180,"Jefferson County, AL",county,01,073,2010,10.2,9.3
181,"Jefferson County, AL",county,01,073,2011,9.2,9.6
182,"Jefferson County, AL",county,01,073,2012,7.6,8.9
183,"Jefferson County, AL",county,01,073,2013,6.8,8.1
184,"Jefferson County, AL",county,01,073,2014,6.3,7.4
185,"Lamar County, AL",county,01,075,2010,13.0,9.3
186,"Lamar County, AL",county,01,075,2011,9.6,9.6
187,"Lamar County, AL",county,01,075,2012,7.7,8.9
188,"Lamar County, AL",county,01,075,2013,7.1,8.1
189,"Lamar County, AL",county,01,075,2014,6.9,7.4
190,"Lauderdale County, AL",county,01,077,2010,10.0,9.3
191,"Lauderdale County, AL",county,01,077,2011,9.1,9.6
192,"Lauderdale County, AL",county,01,077,2012,7.9,8.9
193,"Lauderdale County, AL",county,01,077,2013,7.2,8.1
194,"Lauderdale County, AL",county,01,077,2014,7.2,7.4
195,"Lawrence County, AL",county,01,079,2010,12.4,9.3
196,"Lawrence County, AL",county,01,079,2011,10.8,9.6
197,"Lawrence County, AL",county,01,079,2012,9.2,8.9
198,"Lawrence County, AL",county,01,079,2013,8.5,8.1
199,"Lawrence County, AL",county,01,079,2014,8.2,7.4
200,"Lee County, AL",county,01,081,2010,8.9,9.3
201,"Lee County, AL",county,01,081,2011,8.0,9.6
202,"Lee County, AL",county,01,081,2012,7.0,8.9
203,"Lee County, AL",county,01,081,2013,6.0,8.1
204,"Lee County, AL",county,01,081,2014,5.6,7.4
205,"Limestone County, AL",county,01,083,2010,9.5,9.3
206,"Limestone County, AL",county,01,083,2011,8.6,9.6
207,"Limestone County, AL",county,01,083,2012,7.0,8.9
208,"Limestone County, AL",county,01,083,2013,6.3,8.1
209,"Limestone County, AL",county,01,083,2014,6.1,7.4
210,"Lowndes County, AL",county,01,085,2010,18.1,9.3
211,"Lowndes County, AL",county,01,085,2011,17.5,9.6
212,"Lowndes County, AL",county,01,085,2012,15.8,8.9
213,"Lowndes County, AL",county,01,085,2013,14.3,8.1
214,"Lowndes County, AL",county,01,085,2014,12.8,7.4
215,"Macon County, AL",county,01,087,2010,14.5,9.3
216,"Macon County, AL",county,01,087,2011,13.9,9.6
217,"Macon County, AL",county,01,087,2012,11.0,8.9
218,"Macon County, AL",county,01,087,2013,9.8,8.1
219,"Macon County, AL",county,01,087,2014,9.1,7.4
220,"Madison County, AL",county,01,089,2010,8.2,9.3
221,"Madison County, AL",county,01,089,2011,8.2,9.6
222,"Madison County, AL",county,01,089,2012,7.1,8.9
223,"Madison County, AL",county,01,089,2013,6.4,8.1
224,"Madison County, AL",county,01,089,2014,6.1,7.4
225,"Marengo County, AL",county,01,091,2010,13.5,9.3
226,"Marengo County, AL",county,01,091,2011,12.4,9.6
227,"Marengo County, AL",county,01,091,2012,10.4,8.9
228,"Marengo County, AL",county,01,091,2013,9.0,8.1
229,"Marengo County, AL",county,01,091,2014,7.9,7.4
230,"Marion County, AL",county,01,093,2010,13.3,9.3
231,"Marion County, AL",county,01,093,2011,11.1,9.6
232,"Marion County, AL",county,01,093,2012,9.1,8.9
233,"Marion County, AL",county,01,093,2013,8.0,8.1
234,"Marion County, AL",county,01,093,2014,7.9,7.4
235,"Marshall County, AL",county,01,095,2010,9.5,9.3
236,"Marshall County, AL",county,01,095,2011,9.4,9.6
237,"Marshall County, AL",county,01,095,2012,8.0,8.9
238,"Marshall County, AL",county,01,095,2013,6.9,8.1
239,"Marshall County, AL",county,01,095,2014,6.6,7.4
240,"Mobile County, AL",county,01,097,2010,11.1,9.3
241,"Mobile County, AL",county,01,097,2011,10.7,9.6
242,"Mobile County, AL",county,01,097,2012,9.4,8.9
243,"Mobile County, AL",county,01,097,2013,8.7,8.1
244,"Mobile County, AL",county,01,097,2014,7.7,7.4
245,"Monroe County, AL",county,01,099,2010,17.8,9.3
246,"Monroe County, AL",county,01,099,2011,15.5,9.6
247,"Monroe County, AL",county,01,099,2012,12.8,8.9
248,"Monroe County, AL",county,01,099,2013,12.0,8.1
249,"Monroe County, AL",county,01,099,2014,11.0,7.4
250,"Montgomery County, AL",county,01,101,2010,9.9,9.3
251,"Montgomery County, AL",county,01,101,2011,9.7,9.6
252,"Montgomery County, AL",county,01,101,2012,8.3,8.9
253,"Montgomery County, AL",county,01,101,2013,7.4,8.1
254,"Montgomery County, AL",county,01,101,2014,6.8,7.4
255,"Morgan County, AL",county,01,103,2010,10.6,9.3
256,"Morgan County, AL",county,01,103,2011,9.4,9.6
257,"Morgan County, AL",county,01,103,2012,8.0,8.9
258,"Morgan County, AL",county,01,103,2013,7.0,8.1
259,"Morgan County, AL",county,01,103,2014,6.6,7.4
260,"Perry County, AL",county,01,105,2010,16.5,9.3
261,"Perry County, AL",county,01,105,2011,16.3,9.6
262,"Perry County, AL",county,01,105,2012,13.6,8.9
263,"Perry County, AL",county,01,105,2013,13.7,8.1
264,"Perry County, AL",county,01,105,2014,12.0,7.4
265,"Pickens County, AL",county,01,107,2010,12.9,9.3
266,"Pickens County, AL",county,01,107,2011,11.9,9.6
267,"Pickens County, AL",county,01,107,2012,10.4,8.9
268,"Pickens County, AL",county,01,107,2013,9.5,8.1
269,"Pickens County, AL",county,01,107,2014,8.1,7.4
270,"Pike County, AL",county,01,109,2010,9.4,9.3
271,"Pike County, AL",county,01,109,2011,8.9,9.6
272,"Pike County, AL",county,01,109,2012,8.2,8.9
273,"Pike County, AL",county,01,109,2013,7.8,8.1
274,"Pike County, AL",county,01,109,2014,7.3,7.4
275,"Randolph County, AL",county,01,111,2010,13.1,9.3
276,"Randolph County, AL",county,01,111,2011,11.3,9.6
277,"Randolph County, AL",county,01,111,2012,9.4,8.9
278,"Randolph County, AL",county,01,111,2013,7.9,8.1
279,"Randolph County, AL",county,01,111,2014,6.7,7.4
