,area_title,geographic_level,State,msa_name,geoid,percent_fossil_employees,meets_fossil_threshold,local_area_unemployment,national_unemployment_rate_prev_year,meets_unemployment_criteria
1031,"Penobscot County, Maine",county,Maine,Northeast Maine nonmetropolitan area,23019,0.17438102253423732,1,5.0,3.7,1
1032,"Penobscot County, Maine",county,Maine,Northeast Maine nonmetropolitan area,23019,0.17438102253423732,1,5.0,3.7,1
1033,"Penobscot County, Maine",county,Maine,Northeast Maine nonmetropolitan area,23019,0.17438102253423732,1,5.0,3.7,1
1034,"Penobscot County, Maine",county,Maine,Northeast Maine nonmetropolitan area,23019,0.17438102253423732,1,5.0,3.7,1
1035,"Penobscot County, Maine",county,Maine,Northeast Maine nonmetropolitan area,23019,0.17438102253423732,1,5.0,3.7,1
1036,"Penobscot County, Maine",county,Maine,Northeast Maine nonmetropolitan area,23019,0.17438102253423732,1,5.0,3.7,1
1037,"Penobscot County, Maine",county,Maine,Northeast Maine nonmetropolitan area,23019,0.17438102253423732,1,5.0,3.7,1
1038,"Penobscot County, Maine",county,Maine,Northeast Maine nonmetropolitan area,23019,0.17438102253423732,1,5.0,3.7,1
1039,"Penobscot County, Maine",county,Maine,Northeast Maine nonmetropolitan area,23019,0.17438102253423732,1,5.0,3.7,1
1040,"Penobscot County, Maine",county,Maine,Northeast Maine nonmetropolitan area,23019,0.17438102253423732,1,5.0,3.7,1
1041,"Penobscot County, Maine",county,Maine,Northeast Maine nonmetropolitan area,23019,0.17438102253423732,1,5.0,3.7,1
1042,"Penobscot County, Maine",county,Maine,Northeast Maine nonmetropolitan area,23019,0.17438102253423732,1,5.0,3.7,1
1043,"Penobscot County, Maine",county,Maine,Northeast Maine nonmetropolitan area,23019,0.17438102253423732,1,5.0,3.7,1
1044,"Penobscot County, Maine",county,Maine,Northeast Maine nonmetropolitan area,23019,0.17438102253423732,1,5.0,3.7,1
1045,"Penobscot County, Maine",county,Maine,Northeast Maine nonmetropolitan area,23019,0.17438102253423732,1,5.0,3.7,1
1046,"Penobscot County, Maine",county,Maine,Northeast Maine nonmetropolitan area,23019,0.17438102253423732,1,5.0,3.7,1
1047,"Penobscot County, Maine",county,Maine,Northeast Maine nonmetropolitan area,23019,0.17438102253423732,1,5.0,3.7,1
1048,"Penobscot County, Maine",county,Maine,Northeast Maine nonmetropolitan area,23019,0.17438102253423732,1,5.0,3.7,1
1049,"Penobscot County, Maine",county,Maine,Northeast Maine nonmetropolitan area,23019,0.17438102253423732,1,5.0,3.7,1
1050,"Penobscot County, Maine",county,Maine,Northeast Maine nonmetropolitan area,23019,0.17438102253423732,1,5.0,3.7,1
1051,"Penobscot County, Maine",county,Maine,Northeast Maine nonmetropolitan area,23019,0.17438102253423732,1,5.0,3.7,1
1052,"Penobscot County, Maine",county,Maine,Northeast Maine nonmetropolitan area,23019,0.17438102253423732,1,5.0,3.7,1
1053,"Penobscot County, Maine",county,Maine,Northeast Maine nonmetropolitan area,23019,0.17438102253423732,1,5.0,3.7,1
1054,"Penobscot County, Maine",county,Maine,Northeast Maine nonmetropolitan area,23019,0.17438102253423732,1,5.0,3.7,1
1092,"Lincoln County, Mississippi",county,Mississippi,Southwest Mississippi nonmetropolitan area,28085,1.2959363139868556,1,10.2,9.3,1
1098,"Lincoln County, Mississippi",county,Mississippi,Southwest Mississippi nonmetropolitan area,28085,0.3798109385550304,1,5.8,5.3,1
1099,"Lincoln County, Mississippi",county,Mississippi,Southwest Mississippi nonmetropolitan area,28085,0.3251354731137974,1,5.3,4.9,1
1100,"Lincoln County, Mississippi",county,Mississippi,Southwest Mississippi nonmetropolitan area,28085,0.3036520311858843,1,4.8,4.4,1
1101,"Lincoln County, Mississippi",county,Mississippi,Southwest Mississippi nonmetropolitan area,28085,0.21476953576738808,1,5.6,3.9,1
1116,"Duchesne County, Utah",county,Utah,Eastern Utah nonmetropolitan area,49013,20.458265139116204,1,9.6,9.3,1
1121,"Duchesne County, Utah",county,Utah,Eastern Utah nonmetropolitan area,49013,24.727100142382536,1,7.4,6.2,1
1122,"Duchesne County, Utah",county,Utah,Eastern Utah nonmetropolitan area,49013,20.645754035962725,1,8.6,5.3,1
1123,"Duchesne County, Utah",county,Utah,Eastern Utah nonmetropolitan area,49013,20.375128468653646,1,5.5,4.9,1
1126,"Duchesne County, Utah",county,Utah,Eastern Utah nonmetropolitan area,49013,16.53481012658228,1,7.8,3.7,1
1212,"Marion County, Illinois",county,Illinois,East Central Illinois nonmetropolitan area,17121,1.8394520126221812,1,11.0,9.3,1
1213,"Marion County, Illinois",county,Illinois,East Central Illinois nonmetropolitan area,17121,1.7863959080845866,1,10.0,9.6,1
1214,"Marion County, Illinois",county,Illinois,East Central Illinois nonmetropolitan area,17121,1.143379830779785,1,9.8,8.9,1
1215,"Marion County, Illinois",county,Illinois,East Central Illinois nonmetropolitan area,17121,1.931532663316583,1,10.0,8.1,1
