,area_title,geographic_level,State,msa_name,geoid,percent_fossil_employees,meets_fossil_threshold,local_area_unemployment,national_unemployment_rate_prev_year,meets_unemployment_criteria
28594,"Jackson County, Alabama",county,Alabama,Northeast Alabama nonmetropolitan area,01071,0.2191780821917808,1,5.9,3.7,1
28666,"Polk County, Wisconsin",county,Wisconsin,Western Wisconsin nonmetropolitan area,55095,0.45266679787443415,1,7.2,3.7,1
28668,"Clay County, Kentucky",county,Kentucky,East Kentucky nonmetropolitan area,21051,2.3232575568323757,1,14.7,9.3,1
28669,"Clay County, Kentucky",county,Kentucky,East Kentucky nonmetropolitan area,21051,1.8380526577247889,1,15.0,9.6,1
28670,"Clay County, Kentucky",county,Kentucky,East Kentucky nonmetropolitan area,21051,1.5166835187057632,1,14.1,8.9,1
28671,"Clay County, Kentucky",county,Kentucky,East Kentucky nonmetropolitan area,21051,0.7540301612064483,1,14.2,8.1,1
28677,"Clay County, Kentucky",county,Kentucky,East Kentucky nonmetropolitan area,21051,0.7151979565772669,1,6.6,3.9,1
28746,"Wichita Falls, TX MSA",metropolitan_stat_area,Texas,"Wichita Falls, TX",48660,1.732309200849812,1,6.5,3.7,1
28747,"Wichita Falls, TX MSA",metropolitan_stat_area,Texas,"Wichita Falls, TX",48660,1.732309200849812,1,6.5,3.7,1
28748,"Wichita Falls, TX MSA",metropolitan_stat_area,Texas,"Wichita Falls, TX",48660,1.732309200849812,1,6.5,3.7,1
28762,"Roberts County, Texas",county,Texas,West Texas Region of Texas nonmetropolitan area,48393,3.4482758620689653,1,4.5,3.7,1
28980,"Garfield County, Colorado",county,Colorado,Northwest Colorado nonmetropolitan area,08045,9.62978999783503,1,10.8,9.3,1
28981,"Garfield County, Colorado",county,Colorado,Northwest Colorado nonmetropolitan area,08045,11.270569420478935,1,9.8,9.6,1
28990,"Garfield County, Colorado",county,Colorado,Northwest Colorado nonmetropolitan area,08045,4.043388513376776,1,6.5,3.7,1
29100,"Inyo County, California",county,California,Eastern Sierra-Mother Lode Region of California nonmetropolitan area,06027,0.30512072167683735,1,10.0,9.3,1
29101,"Inyo County, California",county,California,Eastern Sierra-Mother Lode Region of California nonmetropolitan area,06027,0.3228844342795641,1,9.9,9.6,1
29102,"Inyo County, California",county,California,Eastern Sierra-Mother Lode Region of California nonmetropolitan area,06027,0.32393035497368067,1,9.2,8.9,1
29110,"Inyo County, California",county,California,Eastern Sierra-Mother Lode Region of California nonmetropolitan area,06027,0.38054968287526425,1,8.0,3.7,1
29170,"Crook County, Wyoming",county,Wyoming,Eastern Wyoming nonmetropolitan area,56011,7.367149758454106,1,3.9,3.7,1
29182,"Russell County, Kansas",county,Kansas,Kansas nonmetropolitan area,20167,6.621102093122596,1,4.0,3.7,1
29211,"Hattiesburg, MS MSA",metropolitan_stat_area,Mississippi,"Hattiesburg, MS",25620,0.23457960442809173,1,4.9,3.9,1
29212,"Hattiesburg, MS MSA",metropolitan_stat_area,Mississippi,"Hattiesburg, MS",25620,0.23457960442809173,1,4.9,3.9,1
29213,"Hattiesburg, MS MSA",metropolitan_stat_area,Mississippi,"Hattiesburg, MS",25620,0.23457960442809173,1,4.9,3.9,1
29214,"Hattiesburg, MS MSA",metropolitan_stat_area,Mississippi,"Hattiesburg, MS",25620,0.19629884401791858,1,7.0,3.7,1
29215,"Hattiesburg, MS MSA",metropolitan_stat_area,Mississippi,"Hattiesburg, MS",25620,0.19629884401791858,1,7.0,3.7,1
29216,"Hattiesburg, MS MSA",metropolitan_stat_area,Mississippi,"Hattiesburg, MS",25620,0.19629884401791858,1,7.0,3.7,1
29472,"Henry County, Missouri",county,Missouri,Central Missouri nonmetropolitan area,29083,0.7538377192982456,1,10.7,9.3,1
29473,"Henry County, Missouri",county,Missouri,Central Missouri nonmetropolitan area,29083,0.490402129746392,1,9.9,9.6,1
29506,"Elk County, Kansas",county,Kansas,Kansas nonmetropolitan area,20049,2.4518388791593697,1,4.7,3.7,1
29508,"Wyoming County, West Virginia",county,West Virginia,Southern West Virginia nonmetropolitan area,54109,4.12573673870334,1,10.4,9.3,1
29511,"Wyoming County, West Virginia",county,West Virginia,Southern West Virginia nonmetropolitan area,54109,3.0640124902419985,1,9.1,8.1,1
29512,"Wyoming County, West Virginia",county,West Virginia,Southern West Virginia nonmetropolitan area,54109,1.2637586628618018,1,9.4,7.4,1
29513,"Wyoming County, West Virginia",county,West Virginia,Southern West Virginia nonmetropolitan area,54109,3.125659978880676,1,9.4,6.2,1
29514,"Wyoming County, West Virginia",county,West Virginia,Southern West Virginia nonmetropolitan area,54109,21.97340797760672,1,10.2,5.3,1
29515,"Wyoming County, West Virginia",county,West Virginia,Southern West Virginia nonmetropolitan area,54109,19.811097992916174,1,7.1,4.9,1
29516,"Wyoming County, West Virginia",county,West Virginia,Southern West Virginia nonmetropolitan area,54109,17.51173708920188,1,6.9,4.4,1
29517,"Wyoming County, West Virginia",county,West Virginia,Southern West Virginia nonmetropolitan area,54109,11.372064276885045,1,7.0,3.9,1
29518,"Wyoming County, West Virginia",county,West Virginia,Southern West Virginia nonmetropolitan area,54109,8.24092741935484,1,9.7,3.7,1
29609,"LaSalle Parish, Louisiana",county,Louisiana,Central Louisiana nonmetropolitan area,22059,5.301685891748003,1,6.9,6.2,1
29610,"LaSalle Parish, Louisiana",county,Louisiana,Central Louisiana nonmetropolitan area,22059,2.9589934762348555,1,6.6,5.3,1
29613,"LaSalle Parish, Louisiana",county,Louisiana,Central Louisiana nonmetropolitan area,22059,3.418803418803419,1,4.1,3.9,1
29614,"LaSalle Parish, Louisiana",county,Louisiana,Central Louisiana nonmetropolitan area,22059,2.428302281766799,1,5.2,3.7,1
29634,"Corpus Christi, TX MSA",metropolitan_stat_area,Texas,"Corpus Christi, TX",18580,0.6820233180407719,1,5.9,5.3,1
29635,"Corpus Christi, TX MSA",metropolitan_stat_area,Texas,"Corpus Christi, TX",18580,0.6820233180407719,1,5.9,5.3,1
29636,"Corpus Christi, TX MSA",metropolitan_stat_area,Texas,"Corpus Christi, TX",18580,0.6820233180407719,1,5.9,5.3,1
29637,"Corpus Christi, TX MSA",metropolitan_stat_area,Texas,"Corpus Christi, TX",18580,0.5209335128550362,1,5.9,4.9,1
29638,"Corpus Christi, TX MSA",metropolitan_stat_area,Texas,"Corpus Christi, TX",18580,0.5209335128550362,1,5.9,4.9,1
29639,"Corpus Christi, TX MSA",metropolitan_stat_area,Texas,"Corpus Christi, TX",18580,0.5209335128550362,1,5.9,4.9,1
29640,"Corpus Christi, TX MSA",metropolitan_stat_area,Texas,"Corpus Christi, TX",18580,0.7365767528931245,1,5.0,4.4,1
29641,"Corpus Christi, TX MSA",metropolitan_stat_area,Texas,"Corpus Christi, TX",18580,0.7365767528931245,1,5.0,4.4,1
29642,"Corpus Christi, TX MSA",metropolitan_stat_area,Texas,"Corpus Christi, TX",18580,0.7365767528931245,1,5.0,4.4,1
29643,"Corpus Christi, TX MSA",metropolitan_stat_area,Texas,"Corpus Christi, TX",18580,2.072357425947443,1,4.3,3.9,1
29644,"Corpus Christi, TX MSA",metropolitan_stat_area,Texas,"Corpus Christi, TX",18580,2.072357425947443,1,4.3,3.9,1
29645,"Corpus Christi, TX MSA",metropolitan_stat_area,Texas,"Corpus Christi, TX",18580,2.072357425947443,1,4.3,3.9,1
29646,"Corpus Christi, TX MSA",metropolitan_stat_area,Texas,"Corpus Christi, TX",18580,1.2043816334638742,1,9.1,3.7,1
29647,"Corpus Christi, TX MSA",metropolitan_stat_area,Texas,"Corpus Christi, TX",18580,1.2043816334638742,1,9.1,3.7,1
29648,"Corpus Christi, TX MSA",metropolitan_stat_area,Texas,"Corpus Christi, TX",18580,1.2043816334638742,1,9.1,3.7,1
29652,"Grand County, Utah",county,Utah,Eastern Utah nonmetropolitan area,49019,0.44782803403493054,1,10.7,9.3,1
29658,"Grand County, Utah",county,Utah,Eastern Utah nonmetropolitan area,49019,0.5208333333333333,1,5.7,5.3,1
29659,"Grand County, Utah",county,Utah,Eastern Utah nonmetropolitan area,49019,0.6591840370568324,1,5.2,4.9,1
29660,"Grand County, Utah",county,Utah,Eastern Utah nonmetropolitan area,49019,0.5965570138060338,1,4.5,4.4,1
29662,"Grand County, Utah",county,Utah,Eastern Utah nonmetropolitan area,49019,0.24800708591674048,1,9.5,3.7,1
29676,"Pulaski County, Kentucky",county,Kentucky,South Central Kentucky nonmetropolitan area,21199,0.8043758043758044,1,10.7,9.3,1
29686,"Pulaski County, Kentucky",county,Kentucky,South Central Kentucky nonmetropolitan area,21199,0.7058055566888335,1,7.1,3.7,1
29892,"Isabella County, Michigan",county,Michigan,Balance of Lower Peninsula of Michigan nonmetropolitan area,26073,0.7325339844746529,1,9.5,9.3,1
29902,"Isabella County, Michigan",county,Michigan,Balance of Lower Peninsula of Michigan nonmetropolitan area,26073,0.642769825308569,1,8.7,3.7,1
30516,"Clay County, Illinois",county,Illinois,East Central Illinois nonmetropolitan area,17025,2.2905489063144864,1,11.4,9.3,1
30517,"Clay County, Illinois",county,Illinois,East Central Illinois nonmetropolitan area,17025,2.0508613617719442,1,10.6,9.6,1
30518,"Clay County, Illinois",county,Illinois,East Central Illinois nonmetropolitan area,17025,2.1827000808407435,1,9.7,8.9,1
30519,"Clay County, Illinois",county,Illinois,East Central Illinois nonmetropolitan area,17025,2.5326797385620914,1,9.9,8.1,1
30520,"Clay County, Illinois",county,Illinois,East Central Illinois nonmetropolitan area,17025,2.7143981117230527,1,8.1,7.4,1
30521,"Clay County, Illinois",county,Illinois,East Central Illinois nonmetropolitan area,17025,2.445081184336199,1,7.1,6.2,1
30522,"Clay County, Illinois",county,Illinois,East Central Illinois nonmetropolitan area,17025,1.8292682926829267,1,6.8,5.3,1
30523,"Clay County, Illinois",county,Illinois,East Central Illinois nonmetropolitan area,17025,1.81784107946027,1,5.3,4.9,1
30524,"Clay County, Illinois",county,Illinois,East Central Illinois nonmetropolitan area,17025,1.7428785607196402,1,5.2,4.4,1
30525,"Clay County, Illinois",county,Illinois,East Central Illinois nonmetropolitan area,17025,1.7098943323727185,1,4.3,3.9,1
30526,"Clay County, Illinois",county,Illinois,East Central Illinois nonmetropolitan area,17025,1.5252820727120768,1,9.6,3.7,1
30578,"Springfield, MO MSA",metropolitan_stat_area,Missouri,"Springfield, MO",44180,0.23084280156031706,1,5.2,3.7,1
30579,"Springfield, MO MSA",metropolitan_stat_area,Missouri,"Springfield, MO",44180,0.23084280156031706,1,5.2,3.7,1
30580,"Springfield, MO MSA",metropolitan_stat_area,Missouri,"Springfield, MO",44180,0.23084280156031706,1,5.2,3.7,1
30581,"Springfield, MO MSA",metropolitan_stat_area,Missouri,"Springfield, MO",44180,0.23084280156031706,1,5.2,3.7,1
30582,"Springfield, MO MSA",metropolitan_stat_area,Missouri,"Springfield, MO",44180,0.23084280156031706,1,5.2,3.7,1
30622,"Garza County, Texas",county,Texas,West Texas Region of Texas nonmetropolitan area,48169,15.638106650689036,1,6.8,3.7,1
31500,"Schuylkill County, Pennsylvania",county,Pennsylvania,Southern Pennsylvania nonmetropolitan area,42107,0.17726210619611635,1,10.3,9.3,1
31506,"Schuylkill County, Pennsylvania",county,Pennsylvania,Southern Pennsylvania nonmetropolitan area,42107,0.9519219183034101,1,6.1,5.3,1
31507,"Schuylkill County, Pennsylvania",county,Pennsylvania,Southern Pennsylvania nonmetropolitan area,42107,0.9879655228492438,1,5.9,4.9,1
31508,"Schuylkill County, Pennsylvania",county,Pennsylvania,Southern Pennsylvania nonmetropolitan area,42107,0.9797967529049758,1,5.4,4.4,1
31509,"Schuylkill County, Pennsylvania",county,Pennsylvania,Southern Pennsylvania nonmetropolitan area,42107,1.0287406932991754,1,5.6,3.9,1
31510,"Schuylkill County, Pennsylvania",county,Pennsylvania,Southern Pennsylvania nonmetropolitan area,42107,1.009221093783198,1,9.3,3.7,1
31584,"Matagorda County, Texas",county,Texas,Coastal Plains Region of Texas nonmetropolitan area,48321,2.623933175957872,1,11.5,9.3,1
31585,"Matagorda County, Texas",county,Texas,Coastal Plains Region of Texas nonmetropolitan area,48321,3.0514879546528104,1,12.0,9.6,1
31586,"Matagorda County, Texas",county,Texas,Coastal Plains Region of Texas nonmetropolitan area,48321,4.420479937821821,1,10.1,8.9,1
31587,"Matagorda County, Texas",county,Texas,Coastal Plains Region of Texas nonmetropolitan area,48321,5.283240387437629,1,9.8,8.1,1
31588,"Matagorda County, Texas",county,Texas,Coastal Plains Region of Texas nonmetropolitan area,48321,5.811255076387546,1,8.0,7.4,1
31589,"Matagorda County, Texas",county,Texas,Coastal Plains Region of Texas nonmetropolitan area,48321,4.187258513792794,1,6.8,6.2,1
31590,"Matagorda County, Texas",county,Texas,Coastal Plains Region of Texas nonmetropolitan area,48321,3.2090521239102205,1,7.3,5.3,1
31591,"Matagorda County, Texas",county,Texas,Coastal Plains Region of Texas nonmetropolitan area,48321,3.8023868998057173,1,7.4,4.9,1
31592,"Matagorda County, Texas",county,Texas,Coastal Plains Region of Texas nonmetropolitan area,48321,3.5869064084831717,1,6.2,4.4,1
31593,"Matagorda County, Texas",county,Texas,Coastal Plains Region of Texas nonmetropolitan area,48321,0.9918427882832778,1,5.7,3.9,1
31594,"Matagorda County, Texas",county,Texas,Coastal Plains Region of Texas nonmetropolitan area,48321,2.490440239239141,1,10.5,3.7,1
31595,"Matagorda County, Texas",county,Texas,Coastal Plains Region of Texas nonmetropolitan area,48321,2.443012407425219,1,8.3,8.1,1
31609,"Moffat County, Colorado",county,Colorado,Northwest Colorado nonmetropolitan area,08081,11.43317230273752,1,9.7,9.6,1
31662,"Limestone County, Texas",county,Texas,Hill Country Region of Texas nonmetropolitan area,48293,0.8252554362064448,1,5.6,5.3,1
31663,"Limestone County, Texas",county,Texas,Hill Country Region of Texas nonmetropolitan area,48293,1.099332548095799,1,5.6,4.9,1
31666,"Limestone County, Texas",county,Texas,Hill Country Region of Texas nonmetropolitan area,48293,1.7493472584856395,1,7.1,3.7,1
31782,"Reagan County, Texas",county,Texas,West Texas Region of Texas nonmetropolitan area,48383,24.05358182877111,1,6.2,5.3,1
31786,"Reagan County, Texas",county,Texas,West Texas Region of Texas nonmetropolitan area,48383,24.065934065934066,1,9.8,3.7,1
32016,"Hughes County, Oklahoma",county,Oklahoma,Southeast Oklahoma nonmetropolitan area,40063,1.331967213114754,1,10.5,9.3,1
32021,"Hughes County, Oklahoma",county,Oklahoma,Southeast Oklahoma nonmetropolitan area,40063,4.474342928660826,1,7.3,6.2,1
32025,"Hughes County, Oklahoma",county,Oklahoma,Southeast Oklahoma nonmetropolitan area,40063,1.4906027219701878,1,4.6,3.9,1
32026,"Hughes County, Oklahoma",county,Oklahoma,Southeast Oklahoma nonmetropolitan area,40063,1.4756348661633494,1,7.6,3.7,1
32033,"Mercer County, West Virginia",county,West Virginia,Southern West Virginia nonmetropolitan area,54055,0.1970393573485576,1,7.1,6.2,1
32092,"Fort Smith, AR-OK MSA",metropolitan_stat_area,Arkansas,"Fort Smith, AR-OK",22900,0.7466640502354788,1,6.2,3.7,1
32093,"Fort Smith, AR-OK MSA",metropolitan_stat_area,Arkansas,"Fort Smith, AR-OK",22900,0.7466640502354788,1,6.2,3.7,1
32094,"Fort Smith, AR-OK MSA",metropolitan_stat_area,Oklahoma,"Fort Smith, AR-OK",22900,0.7466640502354788,1,6.2,3.7,1
32095,"Fort Smith, AR-OK MSA",metropolitan_stat_area,Oklahoma,"Fort Smith, AR-OK",22900,0.7466640502354788,1,6.2,3.7,1
32109,"Springfield, OH MSA",metropolitan_stat_area,Ohio,"Springfield, OH",44220,0.2885882180723144,1,4.4,3.9,1
32110,"Springfield, OH MSA",metropolitan_stat_area,Ohio,"Springfield, OH",44220,0.2968560248279584,1,8.1,3.7,1
32122,"Dewey County, Oklahoma",county,Oklahoma,Northwest Oklahoma nonmetropolitan area,40043,14.960147148988352,1,4.9,3.7,1
32208,"Monroe County, Ohio",county,Ohio,Eastern Ohio nonmetropolitan area,39111,0.7382169222032936,1,12.3,9.3,1
32209,"Monroe County, Ohio",county,Ohio,Eastern Ohio nonmetropolitan area,39111,1.8924849149753156,1,9.8,9.6,1
32211,"Monroe County, Ohio",county,Ohio,Eastern Ohio nonmetropolitan area,39111,2.158273381294964,1,10.0,8.1,1
32212,"Monroe County, Ohio",county,Ohio,Eastern Ohio nonmetropolitan area,39111,7.987012987012987,1,11.0,7.4,1
32213,"Monroe County, Ohio",county,Ohio,Eastern Ohio nonmetropolitan area,39111,4.781704781704782,1,10.0,6.2,1
32214,"Monroe County, Ohio",county,Ohio,Eastern Ohio nonmetropolitan area,39111,2.873134328358209,1,11.2,5.3,1
32215,"Monroe County, Ohio",county,Ohio,Eastern Ohio nonmetropolitan area,39111,2.727607814227792,1,8.4,4.9,1
32216,"Monroe County, Ohio",county,Ohio,Eastern Ohio nonmetropolitan area,39111,3.67725812209925,1,7.7,4.4,1
32217,"Monroe County, Ohio",county,Ohio,Eastern Ohio nonmetropolitan area,39111,3.5063595737366797,1,8.3,3.9,1
32218,"Monroe County, Ohio",county,Ohio,Eastern Ohio nonmetropolitan area,39111,2.2515278224509485,1,10.7,3.7,1
32268,"San Juan County, Utah",county,Utah,Eastern Utah nonmetropolitan area,49037,3.592092574734812,1,11.1,9.3,1
32269,"San Juan County, Utah",county,Utah,Eastern Utah nonmetropolitan area,49037,3.948952564411269,1,10.4,9.6,1
32274,"San Juan County, Utah",county,Utah,Eastern Utah nonmetropolitan area,49037,4.065638011266226,1,7.8,5.3,1
32276,"San Juan County, Utah",county,Utah,Eastern Utah nonmetropolitan area,49037,2.8771929824561404,1,5.9,4.4,1
32277,"San Juan County, Utah",county,Utah,Eastern Utah nonmetropolitan area,49037,2.916188289322618,1,5.0,3.9,1
32278,"San Juan County, Utah",county,Utah,Eastern Utah nonmetropolitan area,49037,2.5990735975295935,1,10.3,3.7,1
32280,"Birmingham-Hoover, AL MSA",metropolitan_stat_area,Alabama,"Birmingham-Hoover, AL",13820,0.6356336486643578,1,9.7,9.3,1
32281,"Birmingham-Hoover, AL MSA",metropolitan_stat_area,Alabama,"Birmingham-Hoover, AL",13820,0.6356336486643578,1,9.7,9.3,1
32282,"Birmingham-Hoover, AL MSA",metropolitan_stat_area,Alabama,"Birmingham-Hoover, AL",13820,0.6356336486643578,1,9.7,9.3,1
32283,"Birmingham-Hoover, AL MSA",metropolitan_stat_area,Alabama,"Birmingham-Hoover, AL",13820,0.6356336486643578,1,9.7,9.3,1
32284,"Birmingham-Hoover, AL MSA",metropolitan_stat_area,Alabama,"Birmingham-Hoover, AL",13820,0.6356336486643578,1,9.7,9.3,1
32285,"Birmingham-Hoover, AL MSA",metropolitan_stat_area,Alabama,"Birmingham-Hoover, AL",13820,0.6356336486643578,1,9.7,9.3,1
32286,"Birmingham-Hoover, AL MSA",metropolitan_stat_area,Alabama,"Birmingham-Hoover, AL",13820,0.6356336486643578,1,9.7,9.3,1
32322,"Birmingham-Hoover, AL MSA",metropolitan_stat_area,Alabama,"Birmingham-Hoover, AL",13820,0.48207472054763356,1,5.5,5.3,1
32323,"Birmingham-Hoover, AL MSA",metropolitan_stat_area,Alabama,"Birmingham-Hoover, AL",13820,0.48207472054763356,1,5.5,5.3,1
32324,"Birmingham-Hoover, AL MSA",metropolitan_stat_area,Alabama,"Birmingham-Hoover, AL",13820,0.48207472054763356,1,5.5,5.3,1
32325,"Birmingham-Hoover, AL MSA",metropolitan_stat_area,Alabama,"Birmingham-Hoover, AL",13820,0.48207472054763356,1,5.5,5.3,1
32326,"Birmingham-Hoover, AL MSA",metropolitan_stat_area,Alabama,"Birmingham-Hoover, AL",13820,0.48207472054763356,1,5.5,5.3,1
32327,"Birmingham-Hoover, AL MSA",metropolitan_stat_area,Alabama,"Birmingham-Hoover, AL",13820,0.48207472054763356,1,5.5,5.3,1
32328,"Birmingham-Hoover, AL MSA",metropolitan_stat_area,Alabama,"Birmingham-Hoover, AL",13820,0.48207472054763356,1,5.5,5.3,1
32350,"Birmingham-Hoover, AL MSA",metropolitan_stat_area,Alabama,"Birmingham-Hoover, AL",13820,1.4174781732706514,1,6.0,3.7,1
32351,"Birmingham-Hoover, AL MSA",metropolitan_stat_area,Alabama,"Birmingham-Hoover, AL",13820,1.4174781732706514,1,6.0,3.7,1
32352,"Birmingham-Hoover, AL MSA",metropolitan_stat_area,Alabama,"Birmingham-Hoover, AL",13820,1.4174781732706514,1,6.0,3.7,1
32353,"Birmingham-Hoover, AL MSA",metropolitan_stat_area,Alabama,"Birmingham-Hoover, AL",13820,1.4174781732706514,1,6.0,3.7,1
32354,"Birmingham-Hoover, AL MSA",metropolitan_stat_area,Alabama,"Birmingham-Hoover, AL",13820,1.4174781732706514,1,6.0,3.7,1
32355,"Birmingham-Hoover, AL MSA",metropolitan_stat_area,Alabama,"Birmingham-Hoover, AL",13820,1.4174781732706514,1,6.0,3.7,1
32356,"Birmingham-Hoover, AL MSA",metropolitan_stat_area,Alabama,"Birmingham-Hoover, AL",13820,1.4174781732706514,1,6.0,3.7,1
32373,"Becker County, Minnesota",county,Minnesota,Northwest Minnesota nonmetropolitan area,27005,0.25945650689608085,1,4.2,3.9,1
32374,"Becker County, Minnesota",county,Minnesota,Northwest Minnesota nonmetropolitan area,27005,0.26983663943990666,1,6.4,3.7,1
32439,"Greene County, Mississippi",county,Mississippi,Southeast Mississippi nonmetropolitan area,28041,0.396235760277365,1,10.1,8.1,1
32440,"Greene County, Mississippi",county,Mississippi,Southeast Mississippi nonmetropolitan area,28041,0.603318250377074,1,9.0,7.4,1
32441,"Greene County, Mississippi",county,Mississippi,Southeast Mississippi nonmetropolitan area,28041,0.35714285714285715,1,7.6,6.2,1
32443,"Greene County, Mississippi",county,Mississippi,Southeast Mississippi nonmetropolitan area,28041,0.2058672156459084,1,7.7,4.9,1
32445,"Greene County, Mississippi",county,Mississippi,Southeast Mississippi nonmetropolitan area,28041,0.46826222684703434,1,7.9,3.9,1
32446,"Greene County, Mississippi",county,Mississippi,Southeast Mississippi nonmetropolitan area,28041,0.27188689505165853,1,9.5,3.7,1
32518,"Oklahoma City, OK MSA",metropolitan_stat_area,Oklahoma,"Oklahoma City, OK",36420,1.1683943297326846,1,6.2,3.7,1
32519,"Oklahoma City, OK MSA",metropolitan_stat_area,Oklahoma,"Oklahoma City, OK",36420,1.1683943297326846,1,6.2,3.7,1
32520,"Oklahoma City, OK MSA",metropolitan_stat_area,Oklahoma,"Oklahoma City, OK",36420,1.1683943297326846,1,6.2,3.7,1
32521,"Oklahoma City, OK MSA",metropolitan_stat_area,Oklahoma,"Oklahoma City, OK",36420,1.1683943297326846,1,6.2,3.7,1
32522,"Oklahoma City, OK MSA",metropolitan_stat_area,Oklahoma,"Oklahoma City, OK",36420,1.1683943297326846,1,6.2,3.7,1
32523,"Oklahoma City, OK MSA",metropolitan_stat_area,Oklahoma,"Oklahoma City, OK",36420,1.1683943297326846,1,6.2,3.7,1
32524,"Oklahoma City, OK MSA",metropolitan_stat_area,Oklahoma,"Oklahoma City, OK",36420,1.1683943297326846,1,6.2,3.7,1
32550,"Fremont County, Wyoming",county,Wyoming,Western Wyoming nonmetropolitan area,56013,2.5802715397979537,1,7.2,5.3,1
32551,"Fremont County, Wyoming",county,Wyoming,Western Wyoming nonmetropolitan area,56013,2.3520979932238726,1,5.7,4.9,1
32552,"Fremont County, Wyoming",county,Wyoming,Western Wyoming nonmetropolitan area,56013,2.3946170591727687,1,5.2,4.4,1
32553,"Fremont County, Wyoming",county,Wyoming,Western Wyoming nonmetropolitan area,56013,2.589549786395005,1,4.6,3.9,1
32554,"Fremont County, Wyoming",county,Wyoming,Western Wyoming nonmetropolitan area,56013,3.0876425985381517,1,6.2,3.7,1
32580,"Washington County, Georgia",county,Georgia,East Georgia nonmetropolitan area,13303,0.3501293956462171,1,14.7,9.3,1
32644,"Allentown-Bethlehem-Easton, PA-NJ MSA",metropolitan_stat_area,New Jersey,"Allentown-Bethlehem-Easton, PA-NJ",10900,0.22668934503476754,1,5.0,4.9,1
32645,"Allentown-Bethlehem-Easton, PA-NJ MSA",metropolitan_stat_area,Pennsylvania,"Allentown-Bethlehem-Easton, PA-NJ",10900,0.22668934503476754,1,5.0,4.9,1
32646,"Allentown-Bethlehem-Easton, PA-NJ MSA",metropolitan_stat_area,Pennsylvania,"Allentown-Bethlehem-Easton, PA-NJ",10900,0.22668934503476754,1,5.0,4.9,1
32647,"Allentown-Bethlehem-Easton, PA-NJ MSA",metropolitan_stat_area,Pennsylvania,"Allentown-Bethlehem-Easton, PA-NJ",10900,0.22668934503476754,1,5.0,4.9,1
32648,"Allentown-Bethlehem-Easton, PA-NJ MSA",metropolitan_stat_area,New Jersey,"Allentown-Bethlehem-Easton, PA-NJ",10900,0.2796581521329172,1,4.6,4.4,1
32649,"Allentown-Bethlehem-Easton, PA-NJ MSA",metropolitan_stat_area,Pennsylvania,"Allentown-Bethlehem-Easton, PA-NJ",10900,0.2796581521329172,1,4.6,4.4,1
32650,"Allentown-Bethlehem-Easton, PA-NJ MSA",metropolitan_stat_area,Pennsylvania,"Allentown-Bethlehem-Easton, PA-NJ",10900,0.2796581521329172,1,4.6,4.4,1
32651,"Allentown-Bethlehem-Easton, PA-NJ MSA",metropolitan_stat_area,Pennsylvania,"Allentown-Bethlehem-Easton, PA-NJ",10900,0.2796581521329172,1,4.6,4.4,1
32664,"Catahoula Parish, Louisiana",county,Louisiana,Northeast Louisiana nonmetropolitan area,22025,3.705195328231978,1,9.8,9.3,1
32665,"Catahoula Parish, Louisiana",county,Louisiana,Northeast Louisiana nonmetropolitan area,22025,4.466501240694789,1,9.8,9.6,1
32668,"Catahoula Parish, Louisiana",county,Louisiana,Northeast Louisiana nonmetropolitan area,22025,0.5699254712845244,1,7.9,7.4,1
32669,"Catahoula Parish, Louisiana",county,Louisiana,Northeast Louisiana nonmetropolitan area,22025,0.5394801373222168,1,9.6,6.2,1
32670,"Catahoula Parish, Louisiana",county,Louisiana,Northeast Louisiana nonmetropolitan area,22025,0.5641025641025641,1,9.3,5.3,1
32671,"Catahoula Parish, Louisiana",county,Louisiana,Northeast Louisiana nonmetropolitan area,22025,2.7214250371103414,1,7.0,4.9,1
32672,"Catahoula Parish, Louisiana",county,Louisiana,Northeast Louisiana nonmetropolitan area,22025,0.5497251374312844,1,6.7,4.4,1
32721,"White County, Arkansas",county,Arkansas,North Arkansas nonmetropolitan area,05145,1.0412310780296061,1,4.4,3.9,1
32722,"White County, Arkansas",county,Arkansas,North Arkansas nonmetropolitan area,05145,0.9216979536614239,1,6.3,3.7,1
32770,"Wayne County, Ohio",county,Ohio,North Northeastern Ohio nonmetropolitan area (noncontiguous),39169,0.5392017184314929,1,5.9,3.7,1
32778,"Howard County, Texas",county,Texas,West Texas Region of Texas nonmetropolitan area,48227,6.609722998323621,1,5.5,5.3,1
32782,"Howard County, Texas",county,Texas,West Texas Region of Texas nonmetropolitan area,48227,7.275343779980813,1,8.1,3.7,1
32784,"Harrison County, Ohio",county,Ohio,Eastern Ohio nonmetropolitan area,39067,9.49618320610687,1,12.5,9.3,1
32789,"Harrison County, Ohio",county,Ohio,Eastern Ohio nonmetropolitan area,39067,1.8838709677419356,1,6.4,6.2,1
32790,"Harrison County, Ohio",county,Ohio,Eastern Ohio nonmetropolitan area,39067,1.5685195376995045,1,7.7,5.3,1
32791,"Harrison County, Ohio",county,Ohio,Eastern Ohio nonmetropolitan area,39067,0.2752064048036027,1,6.0,4.9,1
32792,"Harrison County, Ohio",county,Ohio,Eastern Ohio nonmetropolitan area,39067,0.3110419906687403,1,5.2,4.4,1
32856,"Huntington County, Indiana",county,Indiana,Northern Indiana nonmetropolitan area,18069,1.1465529913273556,1,11.6,9.3,1
